column,row,orientation,sonar_name,sonar_range_begin_val,probability
0,0,S,L,7.0,0.00877
0,0,S,L,8.0,0.00439
0,0,S,L,9.0,0.00877
0,0,S,L,10.0,0.03509
0,0,S,L,11.0,0.08333
0,0,S,L,12.0,0.05263
0,0,S,L,13.0,0.01316
0,0,S,L,14.0,0.00439
0,0,S,L,15.0,0.00439
0,0,S,L,17.0,0.00877
0,0,S,L,18.0,0.07895
0,0,S,L,19.0,0.34649
0,0,S,L,20.0,0.32018
0,0,S,L,21.0,0.01316
0,0,S,L,22.0,0.01754
0,0,S,R,5.0,0.00439
0,0,S,R,6.0,0.00877
0,0,S,R,7.0,0.05263
0,0,S,R,8.0,0.02193
0,0,S,R,9.0,0.01754
0,0,S,R,10.0,0.01316
0,0,S,R,11.0,0.07895
0,0,S,R,12.0,0.06579
0,0,S,R,13.0,0.03947
0,0,S,R,14.0,0.01754
0,0,S,R,16.0,0.01316
0,0,S,R,17.0,0.00439
0,0,S,R,18.0,0.17982
0,0,S,R,19.0,0.25877
0,0,S,R,20.0,0.16667
0,0,S,R,21.0,0.02193
0,0,S,R,22.0,0.01316
0,0,S,R,23.0,0.00439
0,0,S,R,24.0,0.00877
0,0,S,R,26.0,0.00439
0,0,S,R,29.0,0.00439
0,0,R,L,9.0,0.01325
0,0,R,L,10.0,0.04636
0,0,R,L,11.0,0.28477
0,0,R,L,12.0,0.22517
0,0,R,L,13.0,0.18543
0,0,R,L,14.0,0.13907
0,0,R,L,15.0,0.02649
0,0,R,L,16.0,0.01987
0,0,R,L,17.0,0.01987
0,0,R,L,18.0,0.01987
0,0,R,L,19.0,0.00662
0,0,R,L,20.0,0.01325
0,0,R,R,6.0,0.01987
0,0,R,R,7.0,0.11921
0,0,R,R,8.0,0.11921
0,0,R,R,9.0,0.17881
0,0,R,R,10.0,0.16556
0,0,R,R,11.0,0.15232
0,0,R,R,12.0,0.16556
0,0,R,R,13.0,0.05298
0,0,R,R,14.0,0.02649
0,0,L,L,11.0,0.00478
0,0,L,L,12.0,0.10048
0,0,L,L,13.0,0.02871
0,0,L,L,14.0,0.01914
0,0,L,L,15.0,0.01914
0,0,L,L,16.0,0.01914
0,0,L,L,17.0,0.00478
0,0,L,L,18.0,0.09091
0,0,L,L,19.0,0.10048
0,0,L,L,20.0,0.21053
0,0,L,L,21.0,0.0622
0,0,L,L,22.0,0.03828
0,0,L,L,23.0,0.01914
0,0,L,L,24.0,0.02392
0,0,L,L,25.0,0.02392
0,0,L,L,26.0,0.00478
0,0,L,L,27.0,0.0622
0,0,L,L,28.0,0.0622
0,0,L,L,29.0,0.05263
0,0,L,L,30.0,0.01435
0,0,L,L,31.0,0.00957
0,0,L,L,32.0,0.00478
0,0,L,L,33.0,0.00478
0,0,L,L,53.0,0.00478
0,0,L,L,60.0,0.00478
0,0,L,L,67.0,0.00478
0,0,L,L,73.0,0.00478
0,0,L,R,4.0,0.00957
0,0,L,R,5.0,0.08134
0,0,L,R,6.0,0.16268
0,0,L,R,7.0,0.34928
0,0,L,R,8.0,0.0622
0,0,L,R,9.0,0.04785
0,0,L,R,10.0,0.04785
0,0,L,R,11.0,0.08134
0,0,L,R,12.0,0.03349
0,0,L,R,13.0,0.01914
0,0,L,R,14.0,0.00957
0,0,L,R,15.0,0.00957
0,0,L,R,16.0,0.00957
0,0,L,R,18.0,0.01914
0,0,L,R,19.0,0.01914
0,0,L,R,20.0,0.02392
0,0,L,R,21.0,0.00478
0,0,L,R,25.0,0.00478
0,0,L,R,27.0,0.00478
0,1,S,L,7.0,0.02193
0,1,S,L,8.0,0.04825
0,1,S,L,9.0,0.03947
0,1,S,L,10.0,0.01754
0,1,S,L,11.0,0.08772
0,1,S,L,12.0,0.04825
0,1,S,L,13.0,0.00877
0,1,S,L,14.0,0.00877
0,1,S,L,15.0,0.00439
0,1,S,L,16.0,0.03947
0,1,S,L,17.0,0.14912
0,1,S,L,18.0,0.50877
0,1,S,L,19.0,0.01316
0,1,S,L,20.0,0.00439
0,1,S,R,3.0,0.00439
0,1,S,R,4.0,0.01754
0,1,S,R,5.0,0.03509
0,1,S,R,6.0,0.02193
0,1,S,R,7.0,0.00439
0,1,S,R,8.0,0.00877
0,1,S,R,9.0,0.01754
0,1,S,R,10.0,0.00877
0,1,S,R,11.0,0.0307
0,1,S,R,12.0,0.05263
0,1,S,R,13.0,0.03947
0,1,S,R,14.0,0.02193
0,1,S,R,15.0,0.01754
0,1,S,R,16.0,0.04825
0,1,S,R,17.0,0.26754
0,1,S,R,18.0,0.37281
0,1,S,R,19.0,0.02193
0,1,S,R,20.0,0.00439
0,1,S,R,22.0,0.00439
0,1,R,L,11.0,0.02469
0,1,R,L,12.0,0.40741
0,1,R,L,13.0,0.24074
0,1,R,L,14.0,0.17284
0,1,R,L,15.0,0.05556
0,1,R,L,16.0,0.01852
0,1,R,L,17.0,0.01852
0,1,R,L,18.0,0.03704
0,1,R,L,19.0,0.01235
0,1,R,L,21.0,0.01235
0,1,R,R,6.0,0.01235
0,1,R,R,7.0,0.04938
0,1,R,R,8.0,0.03086
0,1,R,R,9.0,0.03704
0,1,R,R,10.0,0.10494
0,1,R,R,11.0,0.29012
0,1,R,R,12.0,0.23457
0,1,R,R,13.0,0.12963
0,1,R,R,14.0,0.04938
0,1,R,R,15.0,0.01235
0,1,R,R,16.0,0.00617
0,1,R,R,18.0,0.03086
0,1,R,R,19.0,0.01235
0,1,L,L,8.0,0.03349
0,1,L,L,9.0,0.05263
0,1,L,L,10.0,0.10048
0,1,L,L,11.0,0.27751
0,1,L,L,12.0,0.1244
0,1,L,L,13.0,0.05742
0,1,L,L,14.0,0.01914
0,1,L,L,15.0,0.01914
0,1,L,L,16.0,0.01435
0,1,L,L,17.0,0.00478
0,1,L,L,18.0,0.04306
0,1,L,L,19.0,0.03349
0,1,L,L,20.0,0.03828
0,1,L,L,21.0,0.02392
0,1,L,L,22.0,0.03349
0,1,L,L,23.0,0.02392
0,1,L,L,24.0,0.01914
0,1,L,L,25.0,0.01914
0,1,L,L,26.0,0.00478
0,1,L,L,27.0,0.00957
0,1,L,L,28.0,0.00478
0,1,L,L,29.0,0.01435
0,1,L,L,30.0,0.00478
0,1,L,L,34.0,0.00478
0,1,L,L,44.0,0.00957
0,1,L,L,50.0,0.00478
0,1,L,L,67.0,0.00478
0,1,L,R,4.0,0.11005
0,1,L,R,5.0,0.09091
0,1,L,R,6.0,0.11483
0,1,L,R,7.0,0.26316
0,1,L,R,8.0,0.16746
0,1,L,R,9.0,0.09569
0,1,L,R,10.0,0.03828
0,1,L,R,11.0,0.03828
0,1,L,R,12.0,0.01435
0,1,L,R,13.0,0.00478
0,1,L,R,14.0,0.01914
0,1,L,R,15.0,0.00478
0,1,L,R,16.0,0.00478
0,1,L,R,18.0,0.01435
0,1,L,R,19.0,0.00478
0,1,L,R,23.0,0.00478
0,1,L,R,56.0,0.00478
0,1,L,R,27.0,0.00478
0,2,S,L,4.0,0.00439
0,2,S,L,5.0,0.00439
0,2,S,L,6.0,0.01316
0,2,S,L,7.0,0.02632
0,2,S,L,8.0,0.00439
0,2,S,L,9.0,0.01316
0,2,S,L,10.0,0.03947
0,2,S,L,11.0,0.07895
0,2,S,L,12.0,0.09211
0,2,S,L,13.0,0.02632
0,2,S,L,14.0,0.18421
0,2,S,L,15.0,0.25439
0,2,S,L,16.0,0.21491
0,2,S,L,17.0,0.0307
0,2,S,L,18.0,0.01316
0,2,S,R,2.0,0.01316
0,2,S,R,3.0,0.0614
0,2,S,R,4.0,0.00877
0,2,S,R,10.0,0.00439
0,2,S,R,11.0,0.07018
0,2,S,R,12.0,0.06579
0,2,S,R,13.0,0.01316
0,2,S,R,14.0,0.11404
0,2,S,R,15.0,0.33333
0,2,S,R,16.0,0.15351
0,2,S,R,17.0,0.07018
0,2,S,R,18.0,0.07895
0,2,S,R,19.0,0.00877
0,2,S,R,20.0,0.00439
0,2,R,L,9.0,0.02339
0,2,R,L,10.0,0.06433
0,2,R,L,11.0,0.06433
0,2,R,L,12.0,0.32164
0,2,R,L,13.0,0.22807
0,2,R,L,14.0,0.16374
0,2,R,L,15.0,0.04094
0,2,R,L,16.0,0.05263
0,2,R,L,17.0,0.00585
0,2,R,L,18.0,0.02924
0,2,R,L,19.0,0.00585
0,2,R,R,34.0,0.00585
0,2,R,R,6.0,0.00585
0,2,R,R,7.0,0.01754
0,2,R,R,8.0,0.04678
0,2,R,R,9.0,0.04094
0,2,R,R,10.0,0.07602
0,2,R,R,11.0,0.19298
0,2,R,R,12.0,0.28655
0,2,R,R,13.0,0.11696
0,2,R,R,14.0,0.07602
0,2,R,R,15.0,0.05263
0,2,R,R,16.0,0.01754
0,2,R,R,18.0,0.02339
0,2,R,R,19.0,0.01754
0,2,R,R,20.0,0.0117
0,2,R,R,22.0,0.0117
0,2,L,L,7.0,0.05742
0,2,L,L,8.0,0.17225
0,2,L,L,9.0,0.16746
0,2,L,L,10.0,0.13876
0,2,L,L,11.0,0.28708
0,2,L,L,12.0,0.07177
0,2,L,L,13.0,0.01914
0,2,L,L,15.0,0.00478
0,2,L,L,16.0,0.00478
0,2,L,L,17.0,0.00957
0,2,L,L,18.0,0.02392
0,2,L,L,19.0,0.00957
0,2,L,L,20.0,0.00957
0,2,L,L,24.0,0.00478
0,2,L,L,27.0,0.00957
0,2,L,L,29.0,0.00478
0,2,L,L,30.0,0.00478
0,2,L,R,33.0,0.00478
0,2,L,R,3.0,0.09569
0,2,L,R,4.0,0.31579
0,2,L,R,5.0,0.15311
0,2,L,R,6.0,0.09091
0,2,L,R,7.0,0.17225
0,2,L,R,8.0,0.09569
0,2,L,R,9.0,0.03828
0,2,L,R,10.0,0.00478
0,2,L,R,11.0,0.00478
0,2,L,R,14.0,0.00957
0,2,L,R,16.0,0.00478
0,2,L,R,18.0,0.00478
0,2,L,R,42.0,0.00478
0,3,S,L,3.0,0.00877
0,3,S,L,6.0,0.00439
0,3,S,L,7.0,0.00439
0,3,S,L,8.0,0.01754
0,3,S,L,9.0,0.02632
0,3,S,L,10.0,0.03509
0,3,S,L,11.0,0.07895
0,3,S,L,12.0,0.21053
0,3,S,L,13.0,0.35965
0,3,S,L,14.0,0.21053
0,3,S,L,15.0,0.0307
0,3,S,L,16.0,0.00439
0,3,S,L,17.0,0.00439
0,3,S,L,18.0,0.00439
0,3,S,R,2.0,0.01316
0,3,S,R,9.0,0.00877
0,3,S,R,10.0,0.0307
0,3,S,R,11.0,0.12281
0,3,S,R,12.0,0.29386
0,3,S,R,13.0,0.22807
0,3,S,R,14.0,0.21491
0,3,S,R,15.0,0.01754
0,3,S,R,16.0,0.01316
0,3,S,R,17.0,0.02193
0,3,S,R,18.0,0.03509
0,3,R,L,9.0,0.01042
0,3,R,L,10.0,0.03125
0,3,R,L,11.0,0.09375
0,3,R,L,12.0,0.39063
0,3,R,L,13.0,0.21354
0,3,R,L,14.0,0.13542
0,3,R,L,15.0,0.01042
0,3,R,L,16.0,0.04167
0,3,R,L,17.0,0.02604
0,3,R,L,18.0,0.03125
0,3,R,L,19.0,0.00521
0,3,R,L,20.0,0.00521
0,3,R,L,21.0,0.00521
0,3,R,R,5.0,0.02083
0,3,R,R,6.0,0.06771
0,3,R,R,7.0,0.08854
0,3,R,R,8.0,0.05729
0,3,R,R,9.0,0.03646
0,3,R,R,10.0,0.08854
0,3,R,R,11.0,0.26042
0,3,R,R,12.0,0.24479
0,3,R,R,13.0,0.09896
0,3,R,R,14.0,0.03125
0,3,R,R,15.0,0.00521
0,3,L,L,3.0,0.00957
0,3,L,L,4.0,0.03828
0,3,L,L,5.0,0.01914
0,3,L,L,6.0,0.02392
0,3,L,L,7.0,0.2488
0,3,L,L,8.0,0.21053
0,3,L,L,9.0,0.13397
0,3,L,L,10.0,0.07656
0,3,L,L,11.0,0.1244
0,3,L,L,12.0,0.03349
0,3,L,L,13.0,0.00478
0,3,L,L,14.0,0.02871
0,3,L,L,16.0,0.00478
0,3,L,L,18.0,0.01914
0,3,L,L,19.0,0.00478
0,3,L,L,20.0,0.00957
0,3,L,L,22.0,0.00478
0,3,L,L,29.0,0.00478
0,3,L,R,3.0,0.32057
0,3,L,R,4.0,0.26794
0,3,L,R,5.0,0.16746
0,3,L,R,6.0,0.12919
0,3,L,R,7.0,0.08134
0,3,L,R,8.0,0.01435
0,3,L,R,9.0,0.01435
0,3,L,R,11.0,0.00478
0,4,S,L,7.0,0.03947
0,4,S,L,8.0,0.03947
0,4,S,L,9.0,0.03947
0,4,S,L,10.0,0.07456
0,4,S,L,11.0,0.39912
0,4,S,L,12.0,0.32018
0,4,S,L,13.0,0.03509
0,4,S,L,14.0,0.04386
0,4,S,L,15.0,0.00877
0,4,S,R,7.0,0.0614
0,4,S,R,8.0,0.13596
0,4,S,R,9.0,0.13596
0,4,S,R,10.0,0.16667
0,4,S,R,11.0,0.26316
0,4,S,R,12.0,0.14035
0,4,S,R,13.0,0.05702
0,4,S,R,14.0,0.01316
0,4,S,R,15.0,0.00877
0,4,S,R,16.0,0.00439
0,4,S,R,17.0,0.00877
0,4,S,R,19.0,0.00439
0,4,R,L,9.0,0.01435
0,4,R,L,10.0,0.07656
0,4,R,L,11.0,0.3445
0,4,R,L,12.0,0.18182
0,4,R,L,13.0,0.20574
0,4,R,L,14.0,0.08612
0,4,R,L,15.0,0.02392
0,4,R,L,16.0,0.03349
0,4,R,L,17.0,0.03349
0,4,R,R,5.0,0.00478
0,4,R,R,6.0,0.02392
0,4,R,R,7.0,0.10526
0,4,R,R,8.0,0.11483
0,4,R,R,9.0,0.10526
0,4,R,R,10.0,0.1244
0,4,R,R,11.0,0.26316
0,4,R,R,12.0,0.13876
0,4,R,R,13.0,0.09569
0,4,R,R,14.0,0.01914
0,4,R,R,17.0,0.00478
0,4,L,L,4.0,0.07656
0,4,L,L,5.0,0.09091
0,4,L,L,6.0,0.17225
0,4,L,L,7.0,0.16746
0,4,L,L,8.0,0.14354
0,4,L,L,9.0,0.08134
0,4,L,L,10.0,0.09091
0,4,L,L,11.0,0.10526
0,4,L,L,12.0,0.01914
0,4,L,L,14.0,0.00957
0,4,L,L,15.0,0.00957
0,4,L,L,17.0,0.00478
0,4,L,L,18.0,0.00478
0,4,L,L,19.0,0.00957
0,4,L,L,20.0,0.00478
0,4,L,L,21.0,0.00478
0,4,L,L,26.0,0.00478
0,4,L,R,2.0,0.00957
0,4,L,R,3.0,0.45455
0,4,L,R,4.0,0.27273
0,4,L,R,5.0,0.07656
0,4,L,R,6.0,0.05742
0,4,L,R,7.0,0.09091
0,4,L,R,8.0,0.01435
0,4,L,R,9.0,0.00957
0,4,L,R,10.0,0.00957
0,4,L,R,11.0,0.00478
0,5,S,L,6.0,0.00877
0,5,S,L,7.0,0.11404
0,5,S,L,8.0,0.15789
0,5,S,L,9.0,0.26316
0,5,S,L,10.0,0.19737
0,5,S,L,11.0,0.16667
0,5,S,L,12.0,0.04386
0,5,S,L,13.0,0.01754
0,5,S,L,14.0,0.02632
0,5,S,L,17.0,0.00439
0,5,S,R,4.0,0.00439
0,5,S,R,5.0,0.10965
0,5,S,R,6.0,0.12719
0,5,S,R,7.0,0.27632
0,5,S,R,8.0,0.14474
0,5,S,R,9.0,0.10965
0,5,S,R,10.0,0.06579
0,5,S,R,11.0,0.11404
0,5,S,R,12.0,0.04386
0,5,S,R,13.0,0.00439
0,5,R,L,3.0,0.00478
0,5,R,L,4.0,0.05263
0,5,R,L,5.0,0.02392
0,5,R,L,6.0,0.00957
0,5,R,L,8.0,0.02392
0,5,R,L,9.0,0.0622
0,5,R,L,10.0,0.06699
0,5,R,L,11.0,0.19139
0,5,R,L,12.0,0.45455
0,5,R,L,13.0,0.09569
0,5,R,L,14.0,0.01435
0,5,R,R,5.0,0.00478
0,5,R,R,6.0,0.03828
0,5,R,R,7.0,0.14833
0,5,R,R,8.0,0.07177
0,5,R,R,9.0,0.05742
0,5,R,R,10.0,0.10526
0,5,R,R,11.0,0.22967
0,5,R,R,12.0,0.2488
0,5,R,R,13.0,0.07656
0,5,R,R,14.0,0.00478
0,5,R,R,15.0,0.00478
0,5,R,R,18.0,0.00478
0,5,R,R,21.0,0.00478
0,5,L,L,4.0,0.04306
0,5,L,L,5.0,0.06699
0,5,L,L,6.0,0.11962
0,5,L,L,7.0,0.37321
0,5,L,L,8.0,0.17225
0,5,L,L,9.0,0.1244
0,5,L,L,10.0,0.07177
0,5,L,L,11.0,0.01435
0,5,L,L,12.0,0.00957
0,5,L,L,16.0,0.00478
0,5,L,R,3.0,0.35885
0,5,L,R,4.0,0.2823
0,5,L,R,5.0,0.13876
0,5,L,R,6.0,0.09569
0,5,L,R,7.0,0.05263
0,5,L,R,8.0,0.02392
0,5,L,R,9.0,0.01435
0,5,L,R,10.0,0.02392
0,5,L,R,11.0,0.00957
0,6,S,L,4.0,0.01754
0,6,S,L,5.0,0.06579
0,6,S,L,6.0,0.07018
0,6,S,L,7.0,0.39474
0,6,S,L,8.0,0.17982
0,6,S,L,9.0,0.13158
0,6,S,L,10.0,0.04825
0,6,S,L,11.0,0.06579
0,6,S,L,12.0,0.01316
0,6,S,L,13.0,0.00439
0,6,S,L,15.0,0.00439
0,6,S,L,18.0,0.00439
0,6,S,R,3.0,0.12719
0,6,S,R,4.0,0.25877
0,6,S,R,5.0,0.17544
0,6,S,R,6.0,0.18421
0,6,S,R,7.0,0.21053
0,6,S,R,8.0,0.00877
0,6,S,R,9.0,0.02632
0,6,S,R,13.0,0.00439
0,6,S,R,14.0,0.00439
0,6,R,L,0.0,0.00478
0,6,R,L,7.0,0.01435
0,6,R,L,8.0,0.03828
0,6,R,L,9.0,0.02392
0,6,R,L,10.0,0.06699
0,6,R,L,11.0,0.37321
0,6,R,L,12.0,0.25359
0,6,R,L,13.0,0.16268
0,6,R,L,14.0,0.02871
0,6,R,L,15.0,0.01914
0,6,R,L,16.0,0.00478
0,6,R,L,17.0,0.00478
0,6,R,L,19.0,0.00478
0,6,R,R,0.0,0.00478
0,6,R,R,3.0,0.04785
0,6,R,R,196.0,0.00478
0,6,R,R,7.0,0.05263
0,6,R,R,8.0,0.14833
0,6,R,R,9.0,0.1244
0,6,R,R,10.0,0.07656
0,6,R,R,11.0,0.2488
0,6,R,R,12.0,0.22967
0,6,R,R,13.0,0.03828
0,6,R,R,14.0,0.01435
0,6,R,R,18.0,0.00478
0,6,R,R,4.0,0.00478
0,6,L,L,4.0,0.02871
0,6,L,L,5.0,0.00478
0,6,L,L,6.0,0.01435
0,6,L,L,7.0,0.35407
0,6,L,L,8.0,0.21531
0,6,L,L,9.0,0.14833
0,6,L,L,10.0,0.09569
0,6,L,L,11.0,0.08134
0,6,L,L,12.0,0.03828
0,6,L,L,13.0,0.00478
0,6,L,L,14.0,0.00478
0,6,L,L,18.0,0.00957
0,6,L,R,2.0,0.08134
0,6,L,R,3.0,0.28708
0,6,L,R,4.0,0.18182
0,6,L,R,5.0,0.15311
0,6,L,R,6.0,0.16746
0,6,L,R,7.0,0.1244
0,6,L,R,11.0,0.00478
0,7,S,L,2.0,0.00439
0,7,S,L,3.0,0.38596
0,7,S,L,4.0,0.14035
0,7,S,L,5.0,0.13158
0,7,S,L,6.0,0.10526
0,7,S,L,7.0,0.13158
0,7,S,L,8.0,0.03509
0,7,S,L,9.0,0.0307
0,7,S,L,10.0,0.01754
0,7,S,L,11.0,0.01316
0,7,S,L,12.0,0.00439
0,7,S,R,2.0,0.0307
0,7,S,R,3.0,0.57018
0,7,S,R,4.0,0.10088
0,7,S,R,5.0,0.10088
0,7,S,R,6.0,0.11404
0,7,S,R,7.0,0.05263
0,7,S,R,8.0,0.01754
0,7,S,R,9.0,0.00877
0,7,S,R,11.0,0.00439
0,7,R,L,7.0,0.00478
0,7,R,L,8.0,0.01914
0,7,R,L,9.0,0.03828
0,7,R,L,10.0,0.0622
0,7,R,L,11.0,0.21053
0,7,R,L,12.0,0.39713
0,7,R,L,13.0,0.15789
0,7,R,L,14.0,0.0622
0,7,R,L,15.0,0.02871
0,7,R,L,16.0,0.01914
0,7,R,R,7.0,0.00478
0,7,R,R,8.0,0.00957
0,7,R,R,9.0,0.03349
0,7,R,R,10.0,0.06699
0,7,R,R,11.0,0.34928
0,7,R,R,12.0,0.35407
